Text,Label
"Most of my business customers are people of western Europe and the most competent are the United States, but since the #RussiaUkraine war broke out my product sales have decreased.
Tak Cuma Resesi IMF, 15 Ramalan Suram Ekonomi Dunia 2023 – Digital Ekonomi https://t.co/DJicFBoBno",1
"• Lomba Essay dan Infografis ACE 2023 “Inovasi Pengelolaan Keuangan Oleh
Milenial Sebagai Titik Terang Indonesia Menghadapi Ancaman Resesi Ekonomi 2023"".
Save the Date‼️
Pendaftaran: 20 Februari - 2 Mei 2023
More information: @ace.accounting",1
"Check out my latest video ""Resesi Ekonomi 2023 | Lakukan Ini Segera ⁉️💯""

Watch Now: https://t.co/esXrG6boOx

(Posted via https://t.co/XMHhgaVwvv) https://t.co/BbiLOe8IU7",1
"@hariankompas 2023 ASU 🇺🇲 Resesi, 2024 ekonomi dunia kolaps 👉 2025 Great reset ekonomi Barat.
Indonesia dimana? Ikut induknya ASU 🇺🇲",1
"Sri Mulyani: AS Batal Resesi, Dunia Selamat

Menteri Keuangan Sri Mulyani dalam Economic Outlook 2023 mengungkapkan bahwa perekonomian dunia berbalik positif pada tahun 2023. Diharapkan AS tidak mengalami resesi sehingga ekonomi global akan lebih baik.
@KemenkeuRI @DitjenPajakRI https://t.co/QV7M4ANTOe",1
"Menkeu Bu Sri Mulyani mengungkapkan dalam ""Economic Outlook 2023"" bahwa perekonomian dunia berbalik positif pada tahun 2023 inih. 
Berharap AS tidak mengalami resesi sehingga ekonomi global akan smangkin lebih baik... https://t.co/eDk7dFAyCM",1
"Good news gaess!
Indonesia dipastikan tidak akan mengalami resesi pada tahun 2023,
Bu Sri merujuk pada prediksi IMF yang mengeluarkan prediksi ekonomi dunia. https://t.co/qLD7Oj4YoJ",1
"Jokowi memilih fokus agar bagaimana Indonesia sudah on the right track

Sukses memimpin G-20, Asian Games 2018, Covid-19, Ekonomi selamat dari resesi

Maka Rencana IKN, Asean 2023, FIBA World Cup 2023, Piala Dunia U-20 2023 harus GAGAL agar nama Jokowi BURUK seperti SBY",1
"Ekonomi global masih menghadapi ancaman resesi. Lalu bagaimana kita menatap ekonomi di tahun 2023? Saksikan IDX Channel Economic Outlook 2023 bersama narasumber terpecaya, hanya di IDX Channel. https://t.co/53lSsQniQU",1
"Optimisme Pertumbuhan Ekonomi RI 2023, ditengah gejolak dan ancaman Resesi Dunia. Simak beritanya di portal kami #bbonnews #beritaekonomi #prediksiekonomi #prediksi2023 @ Special Region of Yogyakarta https://t.co/HDm4PL2bFK",1
"7 nasehat untuk kaum muda melanjutkan langkah di 2023 di tengah prediksi ancaman resesi ekonomi global... (Rhenald Kasali)
#salamtoleransi
#ToleransiAkalSehat
#Economic

https://t.co/ybQMZZyFRk",1
Resesi ekonomi 2023 adalah tantangan. Gimana cara ngatasin dan sukses ngelewatinya? Temuin peluangnya bareng Raymond Chin di Live IG Telkomsel redi --&gt; https://t.co/KrHhLFR5kN tanggal 25 Januari! be redi! #rediToServeYou #resesiekonomi,1
"Di sisi lain, dalam laporan World Economic Outlook Oktober 2022, IMF memprediksi ekonomi global akan merosot sampai 2023. Bahkan, sepertiga perekonomian dunia termasuk AS, Uni Eropa, dan China diproyeksikan mengalami resesi akibat perang Rusia-Ukraina, serta dampak pandemi.",1
"#Repost

Kita merasa hidup normal-normal saja, padahal keadaan semua negara, termasuk Indonesia, berada pada kegentingan global. Di tahun 2023 sepertiga ekonomi dunia diprediksi mengalami resesi. https://t.co/SiMDKEYJCl",1
"@L4NK @msaid_didu Ya Tuhan, kadrun satu ini blom paham juga. Sungguh O'ON yg begitu natural &amp; tak bertepi!!❓
Dunia itu sgt bergantung thd 3 kekuatan ekonomi global, yakni US, China &amp; UE, yg diperkirakan bakal mengalami pelambatan hingga resesi di 2023!
🤔🙄😓
https://t.co/fp49h2ZrNn",1
"Seperti Gol Marcelino Yang begitu Indah ketika melawan Filiphina, seperti itulah kebijakan Pak Jokowi untuk menjawab Resesi ekonomi
Timnas I Marselino I Filiphina I Ditto I Starting 2023 I Dendy I Arhan II Choi Doha I iPhone I Minho I New I Pagii
 #NewJeans #SajalAli #Okkadu https://t.co/eTyCmOuoJf",1
"2022 : Okelah
2023 : Semoga resesi ekonomi tidak terjadi 

Hahaha",1
"Apindo Ingatkan Pemerintah Waspadai Resesi Tahun 2023: Tantangan ekonomi di fase perfect storm tahun depan nanti akan dihadapi oleh sejumlah negara, termasuk Indonesia. Pemerintah diminta untuk mewaspadai terjadinya resesi di tahun depan.

baca… https://t.co/mQQ5IYhQKG",1
"""Prospek Ekonomi Indonesia 2023 ditengah Ancaman Resesi Global yang Suram dan Penuh Ketidakpastian""

Simak Pembahasannya dalam ""Outlook Indonesia 2023"" pada Selasa, 27 Desember 2022 pukul 08.00 WIB

LIVE di Radio Elshinta 90 FM dan Media Sosial Elshinta. https://t.co/LFGFDK9543",1
Ngerti maksudnya ngomongin jepang jg kreditor dan istilahnya minjem dr rakyatnya sendiri. Cuma ekonomi jepang rentan bgt sama pengaruh luar contoh perdagangan dan (katanya) resesi dunia 2023. Yg ada kalo ga segera primary balance mengulang lagi tahun 2009 mantaplah tu bangkroot,1
"SUSUN STRATEGI

Kepala Disperindag Jabar, Iendra Sofyan mengikuti program Dialog Live BrukBrak dengan Tema “Strategi Pemprov Jabar Hadapi Ancaman Resesi Ekonomi 2023"" di Studio 1 TVRI Jawa Barat, Selasa (20/12/2022).

#jawabarat #ridwankamil #jabarjuara  #disperindagjabar https://t.co/Lfg6SMu2cw",1
[LIVE] Ekonomi Batam 2023 - Ancaman Resesi &amp; Harapan Kebangkitan https://t.co/b6tBLNETtb,1
[LIVE] Ekonomi Batam 2023 - Ancaman Resesi &amp; Harapan Kebangkitan https://t.co/aNLmvWkVZv,1
NGOBROL EVERYWHERE LIVE : Bahas Ekonomi Batam 2023 dan Ancaman Resesi https://t.co/HvyEjKm0GD,1
NGOBROL EVERYWHERE LIVE : Bahas Ekonomi Batam 2023 dan Ancaman Resesi https://t.co/yRmVTaESSE,1
"2023 bukan resesi ekonomi sih, tapi resesi fakta kek jaman bb tahun 2011-12 yang kaget melek tech jadi kemakan hoax. Bedanya kali ini platformnya baru aja. Penyajian tulisan yang dibuat video pendek ama emotion-triggered statement yang main di sini. Have a nice day",1
"Berkat kinerja menteri BUMN @erickthohir ekonomi Indonesia cukup cerah meskipun dunia global terancam resesi 2023.
#MenteriTerbaik 
ET The Best Minister https://t.co/Ug6rIbJpHo",1
"banyaknya pencapaian BUMN ini sangat penting mengingat hal itu terjadi saat masa sulit sektor ekonomi akibat Covid dan ancaman resesi 2023
#MenteriTerbaik
ET The Best Minister https://t.co/EFl2lP2vUE",1
"Problematik bangsa ini susah dicari ujung pangkalnya. Mulai korupsi, penegakan hukum yang diskriminatif, kriminalisasi agama hingga ekonomi yang dihantui stagflasi dan resesi ekonomi 2023.
Live Muslimah Bicara
Pemuda
#PemudaPemimpinUmat
#SelamatkanGenerasiDenganIslam",1
"INDONESIA TERBEBAS DARI RESESI EKONOMI 2023‼️‼️

Stay safe untuk wilayah Garut Jabar karna sekarang barusan Gempa 🙏🥺❤️🇮🇩 https://t.co/FXISEXa7ai",1
"Presiden Joko Widodo (Jokowi) mengatakan ekonomi global diperkirakan sudah resesi pada awal 2023. Sebab itu, seluruh jajaran pemerintah tidak boleh hanya bekerja normal, tetapi harus selalu peka terhadap krisis.

#resesi #ekonomi #jokowi #news #trending
https://t.co/sj0V9rcO2t",1
"Presiden RI Joko Widodo (Jokowi) mengatakan, bahwa ekonomi global diperkirakan resesi pada awal 2023 sehingga seluruh jajaran pemerintah tidak boleh hanya bekerja “normal” dan harus selalu peka terhadap krisis
https://t.co/7Mut8pSBQi",1
"Presiden Jokowi menyebutkan, ekonomi global diperkirakan resesi pada awal 2023. Sehingga, seluruh jajaran pemerintah tidak boleh hanya bekerja “normal”. #Jokowi #Resesi #Ekonomi 

https://t.co/Ty2eKluVnY",1
